frame,x [nm],y [nm],z [nm],intensity [au]
8.0,249710.4569361545,108336.14653192276,48750.17566790367,800.0
8.0,160462.6437884793,180707.75,49291.23314810388,391.7110900878906
8.0,293576.0925422162,5541.676927372805,49811.311710028,36.28498840332031
8.0,350073.37229539827,264485.8430395723,51350.24028979702,338.5661315917969
8.0,215281.1669658779,207662.00089770183,52127.991230399515,599.3304443359375
8.0,20202.06560137868,79471.32462362757,57824.786577695675,151.59727478027344
8.0,230309.9719530046,204234.36414352062,57322.664954412125,100.17982482910156
8.0,163587.24670875075,346224.06472274667,57906.95868156574,224.69178771972656
8.0,33956.59718579054,98081.75,58148.26602553143,247.07211303710938
8.0,167358.6079294905,135061.77085015178,58641.97530864197,137.76756286621094
8.0,103901.57867945732,228466.75000000003,58746.16047482431,293.4140930175781
8.0,154775.9450362823,117745.50049512833,59938.068301589396,238.3340606689453
8.0,338341.75000000006,112906.64805293083,62064.85251953572,519.5213012695312
8.0,277448.85647434,53501.233583122485,63105.290870607634,153.95993041992188
8.0,311270.7541128919,107223.34620678426,63713.57732532937,186.826904296875
8.0,345534.7926687598,188092.18483142555,63589.631656276775,138.671142578125
8.0,192322.04997794333,131418.8765625358,64449.12685288322,132.6392364501953
8.0,18275.172401525084,76047.67731414735,66680.71099269537,108.18782043457031
8.0,105264.50689768326,251698.43345870078,68228.34152866292,91.10404205322266
8.0,220944.5823912919,79504.32295320928,74749.56262258836,113.06600952148438
8.0,100395.50253608823,292012.9337871597,77439.95951281652,225.5971221923828
8.0,183007.3213361651,65532.189344890416,81280.3848290149,260.6313171386719
8.0,210275.2079246119,113903.75,81022.88860597728,494.8800048828125
8.0,82359.86652460694,336407.9994122237,83776.67562461193,29.081890106201172
8.0,26431.940259598177,283181.25510650873,86433.00025551407,303.1136779785156
8.0,148721.28690320256,227236.15016503635,89798.95425799453,238.8792266845703
8.0,202798.48149284723,109016.4477250725,92371.15206541838,83.5970687866211
8.0,46335.480955787,175873.25,93030.15494420203,335.6703796386719
8.0,168390.14210489392,294024.6670119167,93498.75509003061,156.497314453125
8.0,221250.2680346966,66356.41967329383,95679.01234567902,23.37841033935547
8.0,183733.46449510753,96323.75,95679.01234567902,148.3922882080078
9.0,67027.49799858313,351660.6081195995,3086.41975308642,21.44246482849121
